title,true_label,pred_label,confidence,abstract_snippet
Unsupervised Hierarchical Skill Discovery,THEORETICAL,APPLIED,0.5936,"We consider the problem of unsupervised skill segmentation and hierarchical structure discovery in reinforcement learning. While recent approaches have sought to segment trajectories into reusable skills or options, most rely on action labels, rewards, or handcrafted annotations, limiting their applicability. We propose a method that segments unlab..."
Diffusion Models for Medical Image Analysis: A Comprehensive Survey,SURVEY,APPLIED,0.5583,"Denoising diffusion models, a class of generative models, have garnered immense interest lately in various deep-learning problems. A diffusion probabilistic model defines a forward diffusion stage where the input data is gradually perturbed over several steps by adding Gaussian noise and then learns to reverse the diffusion process to retrieve the ..."
Diffusion Models in Vision: A Survey,SURVEY,APPLIED,0.5082,"Denoising diffusion models represent a recent emerging topic in computer vision, demonstrating remarkable results in the area of generative modeling. A diffusion model is a deep generative model that is based on two stages, a forward diffusion stage and a reverse diffusion stage. In the forward diffusion stage, the input data is gradually perturbed..."
A Survey on Visual Map Localization Using LiDARs and Cameras,SURVEY,APPLIED,0.5793,"As the autonomous driving industry is slowly maturing, visual map localization is quickly becoming the standard approach to localize cars as accurately as possible. Owing to the rich data returned by visual sensors such as cameras or LiDARs, researchers are able to build different types of maps with various levels of details, and use them to achiev..."
Differentiable Logic Synthesis: Spectral Coefficient Selection via Sinkhorn-Constrained Composition,THEORETICAL,APPLIED,0.5145,"Learning precise Boolean logic via gradient descent remains challenging: neural networks typically converge to ""fuzzy"" approximations that degrade under quantization. We introduce Hierarchical Spectral Composition, a differentiable architecture that selects spectral coefficients from a frozen Boolean Fourier basis and composes them via Sinkhorn-con..."
Eight Things to Know about Large Language Models,SURVEY,APPLIED,0.5525,"The widespread public deployment of large language models (LLMs) in recent months has prompted a wave of new attention and engagement from advocates, policymakers, and scholars from many fields. This attention is a timely response to the many urgent questions that this technology raises, but it can sometimes miss important considerations. This pape..."
Beyond Correctness: Exposing LLM-generated Logical Flaws in Reasoning via Multi-step Automated Theorem Proving,THEORETICAL,APPLIED,0.4651,"Large Language Models (LLMs) have demonstrated impressive reasoning capabilities, leading to their adoption in high-stakes domains such as healthcare, law, and scientific research. However, their reasoning often contains subtle logical errors masked by fluent language, posing significant risks for critical applications. While existing approaches li..."
Counterexample Guided Branching via Directional Relaxation Analysis in Complete Neural Network Verification,APPLIED,THEORETICAL,0.4474,"Deep Neural Networks demonstrate exceptional performance but remain vulnerable to adversarial perturbations, necessitating formal verification for safety-critical deployment. To address the computational complexity of this task, researchers often employ abstraction-refinement techniques that iteratively tighten an over-approximated model. While str..."
A survey of cross-lingual features for zero-shot cross-lingual semantic parsing,SURVEY,APPLIED,0.4525,"The availability of corpora to train semantic parsers in English has lead to significant advances in the field. Unfortunately, for languages other than English, annotation is scarce and so are developed parsers. We then ask: could a parser trained in English be applied to language that it hasn't been trained on? To answer this question we explore z..."
"Tricking LLMs into Disobedience: Formalizing, Analyzing, and Detecting Jailbreaks",SURVEY,APPLIED,0.5262,"Recent explorations with commercial Large Language Models (LLMs) have shown that non-expert users can jailbreak LLMs by simply manipulating their prompts; resulting in degenerate output behavior, privacy and security breaches, offensive outputs, and violations of content regulator policies. Limited studies have been conducted to formalize and analy..."
On Positivity Bias in Negative Reviews,SURVEY,THEORETICAL,0.3785,"Prior work has revealed that positive words occur more frequently than negative words in human expressions, which is typically attributed to positivity bias, a tendency for people to report positive views of reality. But what about the language used in negative reviews? Consistent with prior work, we show that English negative reviews tend to conta..."
Heuristic design of fuzzy inference systems: A review of three decades of research,SURVEY,THEORETICAL,0.357,"This paper provides an in-depth review of the optimal design of type-1 and type-2 fuzzy inference systems (FIS) using five well known computational frameworks: genetic-fuzzy systems (GFS), neuro-fuzzy systems (NFS), hierarchical fuzzy systems (HFS), evolving fuzzy systems (EFS), and multi-objective fuzzy systems (MFS), which is in view that some of..."
Eyes on the Mission: Mixed Methods Assessment of Eye-Tracker-Enabled Interactive Decision Support in a Simulated Unmanned Aerial Vehicle System,THEORETICAL,APPLIED,0.7294,"Supervisors in military command and control (C2) environments face dynamic conditions. Dynamically changing information continuously flows to the supervisors through multiple displays. In this environment, important pieces of information can be overlooked due to the complexity of tasks and environments. This study examined the efficacy of an eye-tr..."
Duality-based Mode Operations and Pyramid Multilayer Mapping for Rhetorical Modes,THEORETICAL,APPLIED,0.5198,"Rhetorical modes are useful in both academic and non-academic writing, and can be subjects to be studied within linguistic research and computational modeling. Establishing a conceptual bridge among these domains could enable each to benefit from the others. This paper proposes duality-based mode operations (split-unite, forward-backward, expansion..."
Incremental Fingerprinting in an Open World,THEORETICAL,APPLIED,0.3923,"Network protocol fingerprinting is used to identify a protocol implementation by analyzing its input-output behavior. Traditionally, fingerprinting operates under a closed-world assumption, where models of all implementations are assumed to be available. However, this assumption is unrealistic in practice. When this assumption does not hold, finger..."
Generalizing Fair Top-$k$ Selection: An Integrative Approach,THEORETICAL,APPLIED,0.4818,"Fair top-$k$ selection, which ensures appropriate proportional representation of members from minority or historically disadvantaged groups among the top-$k$ selected candidates, has drawn significant attention. We study the problem of finding a fair (linear) scoring function with multiple protected groups while also minimizing the disparity from a..."
